cluster,x_m,y_m,z_m,count
0,1.6487589309286121,-0.5923351794322671,1.2130615767207946,456
1,1.515473350778557,0.13953270930829717,0.9196806362668318,456
2,1.6536242482889694,-0.5950913412418385,0.6524289158853509,456
3,1.5111569310009947,0.15393496212773145,0.6541016003584363,456
4,1.5081165530385554,0.14586611411571965,1.1905120219266503,456
5,1.582783528538068,-0.22964811794002726,0.7555543302430534,456
6,3.8875131485309438,-0.15951064142458693,1.051700165529039,456
7,1.63755536559373,-0.5786258744694369,1.2007315575141173,456
8,1.6025018854584046,-0.3344160596503697,1.0471447056122494,456
